TRADING CODE,TRADING CODE url,LTP*,HIGH,LOW,CLOSEP*,YCP*,CHANGE,TRADE,VALUE (mn),VOLUME
https://www.dsebd.org/displayCompany.php?name=NCCBLMF1,NCCBLMF1,6.8,6.8,6.8,6.8,6.8,0,2,0.003,390
https://www.dsebd.org/displayCompany.php?name=MBL1STMF,MBL1STMF,6.6,6.6,6.6,6.6,6.6,0,1,0.02,"3,000"
https://www.dsebd.org/displayCompany.php?name=EBLNRBMF,EBLNRBMF,6.5,6.5,6.5,6.5,6.5,0,6,0.036,"5,525"
https://www.dsebd.org/displayCompany.php?name=KEYACOSMET,KEYACOSMET,6.4,6.4,6.4,6.4,6.4,0,8,0.025,"3,893"
https://www.dsebd.org/displayCompany.php?name=RNSPIN,RNSPIN,6.2,6.2,6.2,6.2,6.2,0,4,0.002,304
https://www.dsebd.org/displayCompany.php?name=1JANATAMF,1JANATAMF,6.1,6.1,6.1,6.1,6.1,0,1,0.002,300
https://www.dsebd.org/displayCompany.php?name=GENNEXT,GENNEXT,6,6,6,6,6,0,31,3.149,"524,815"
https://www.dsebd.org/displayCompany.php?name=FAREASTFIN,FAREASTFIN,5.9,5.9,5.9,5.9,5.9,0,2,0.024,"4,000"
https://www.dsebd.org/displayCompany.php?name=ILFSL,ILFSL,5.6,5.6,5.6,5.6,5.6,0,7,0.012,"2,213"
https://www.dsebd.org/displayCompany.php?name=TRUSTB1MF,TRUSTB1MF,5.6,5.6,5.6,5.6,5.6,0,2,0.01,"1,744"
https://www.dsebd.org/displayCompany.php?name=FASFIN,FASFIN,5.4,5.4,5.4,5.4,5.4,0,2,0,48
https://www.dsebd.org/displayCompany.php?name=ABB1STMF,ABB1STMF,5.2,5.2,5.2,5.2,5.2,0,2,0.002,401
https://www.dsebd.org/displayCompany.php?name=PHPMF1,PHPMF1,5.2,5.2,5.2,5.2,5.2,0,2,0.019,"3,705"
https://www.dsebd.org/displayCompany.php?name=POPULAR1MF,POPULAR1MF,5.1,5.1,5.1,5.1,5.1,0,2,0.104,"20,392"
https://www.dsebd.org/displayCompany.php?name=BAYLEASING,BAYLEASING,0,0,0,23.9,23.9,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=VAMLRBBF,VAMLRBBF,0,0,0,7.4,7.4,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=BARKAPOWER,BARKAPOWER,0,0,0,21.3,21.3,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=VAMLBDMF1,VAMLBDMF1,0,0,0,7.3,7.3,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=UTTARAFIN,UTTARAFIN,0,0,0,33.8,33.8,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=CVOPRL,CVOPRL,0,0,0,163.7,163.7,--,0,0,0
